Habitat,DEM,sDEM,hDEM,DSM,CHM,Aspect,Slope,Curvature,PlanCurv,ProfileCurv,NDVI,NDRE,NDWI,x,y,Wetland
1.0,17.809999465942383,18.33188247680664,18.01972770690918,17.809999465942383,0.0,38.37821960449219,27.259302139282227,-1121.40234375,-563.80712890625,557.5951538085938,0.7482099533081055,0.1390974372625351,-0.5716498494148254,688862.3636204047,22989.625951246133,1
3.0,19.117708206176758,18.629619598388672,19.117708206176758,22.060781478881836,2.943073272705078,202.94747924804688,40.655242919921875,606.4478759765625,430.0823059082031,-176.3655548095703,0.7194688320159912,0.10844311118125916,-0.6231160759925842,689408.2213862048,22983.62752811183,1
2.0,16.471073150634766,16.585311889648438,16.516738891601562,16.471073150634766,0.0,12.339042663574219,3.642605781555176,120.87928009033203,-15.35701847076416,-136.23629760742188,0.46678343415260315,0.12883669137954712,-0.4353983700275421,688965.8366584273,22974.929814567084,0
2.0,16.44161033630371,16.276769638061523,16.516738891601562,16.44161033630371,0.0,245.93968200683594,3.0027453899383545,46.31890106201172,121.91938018798828,75.60047912597656,0.5702323913574219,0.15698431432247162,-0.5184376835823059,688941.84291048,22973.43020878351,0
1.0,17.945791244506836,18.171886444091797,17.945791244506836,19.119367599487305,1.1735763549804688,168.47142028808594,10.232872009277344,-34.29836654663086,-16.095550537109375,18.202816009521484,0.6998964548110962,0.20026254653930664,-0.5837100148200989,689313.7460036625,22962.333125985042,1
3.0,16.663000106811523,16.86106300354004,16.663000106811523,22.584457397460938,5.921457290649414,153.35655212402344,9.45273208618164,-59.84624099731445,10.998619079589844,70.84486389160156,0.7910336256027222,0.15674833953380585,-0.6099072098731995,689258.8603052332,22950.036358559715,1
1.0,17.318073272705078,17.470335006713867,17.345651626586914,20.420019149780273,3.1019458770751953,113.13467407226562,29.653514862060547,135.0847930908203,-113.47294616699219,-248.5577392578125,0.790537416934967,0.1580781489610672,-0.6532923579216003,688882.7583061599,22946.737225835845,1
3.0,19.736278533935547,19.80150032043457,19.736278533935547,20.123003005981445,0.38672447204589844,117.87059020996094,12.01963996887207,-0.0,3.2140350341796875,3.2140350341796875,0.7948167324066162,0.13105347752571106,-0.5838388800621033,689484.4015359373,22938.039512291103,1
3.0,16.5403995513916,16.27368927001953,16.65866470336914,20.22421646118164,3.683816909790039,76.96753692626953,24.977746963500977,368.6502380371094,373.34100341796875,4.690771579742432,0.7723022103309631,0.15090973675251007,-0.5996227264404297,688981.1326727436,22931.74116800008,1
3.0,18.848251342773438,18.615140914916992,18.848251342773438,18.830509185791016,-0.017742156982421875,325.7664794921875,44.921207427978516,926.4225463867188,521.7294311523438,-404.693115234375,0.8453875780105591,0.21996352076530457,-0.7132138609886169,689197.9761698169,22931.74116800008,1
