,GRID_ID,Truth,Output
520,BC-24,1,1
521,BC-29,1,1
522,BC-3,1,1
523,BC-36,1,1
524,BC-37,1,1
525,BC-38,1,1
526,BC-44,1,1
527,BC-46,1,1
528,BC-49,1,1
529,BC-52,1,1
530,BC-58,0,1
531,BC-59,0,1
532,BC-64,0,1
533,BC-66,0,1
534,BD-12,1,1
535,BD-17,1,1
536,BD-18,1,1
537,BD-21,1,1
538,BD-24,1,1
539,BD-31,1,1
540,BD-37,1,1
541,BD-46,1,1
542,BD-49,1,1
543,BD-5,1,1
544,BD-52,1,1
545,BD-53,1,1
546,BD-58,0,1
547,BD-61,0,0
548,BD-62,0,1
549,BD-64,0,1
550,BD-8,1,1
551,BD-9,1,1
552,BE-12,1,1
553,BE-24,1,1
554,BE-28,1,1
555,BE-32,1,1
556,BE-36,1,1
557,BE-42,1,1
558,BE-46,1,1
559,BE-53,0,1
560,BE-58,0,1
561,BE-59,0,1
562,BE-6,1,1
563,BE-60,0,0
564,BE-61,0,1
565,BE-63,0,1
566,BF-10,1,1
567,BF-14,1,1
568,BF-18,1,1
569,BF-27,1,1
570,BF-34,1,1
571,BF-35,1,1
572,BF-40,1,1
573,BF-5,1,1
574,BF-55,0,1
575,BF-60,0,1
576,BF-62,0,1
577,BF-64,0,1
578,BG-10,1,1
579,BG-12,1,1
580,BG-15,1,1
581,BG-17,1,1
582,BG-21,1,1
583,BG-27,1,1
584,BG-28,1,1
585,BG-32,1,1
586,BG-34,1,1
587,BG-35,1,1
588,BG-4,1,1
589,BG-44,1,1
590,BG-45,1,1
591,BG-56,0,1
592,BG-6,1,1
593,BG-63,0,1
594,BH-15,1,1
595,BH-20,1,1
596,BH-21,1,1
597,BH-22,1,1
598,BH-23,1,1
599,BH-27,1,1
600,BH-29,1,1
601,BH-30,1,1
602,BH-33,1,1
603,BH-35,1,1
604,BH-39,1,1
605,BH-40,1,1
606,BH-5,1,1
607,BH-53,0,1
608,BH-59,0,1
609,BH-64,0,1
610,BI-12,1,1
611,BI-14,1,1
612,BI-17,1,1
613,BI-35,1,1
614,BI-36,1,1
615,BI-40,1,1
616,BI-41,1,1
617,BI-43,1,1
618,BI-52,0,1
619,BI-54,0,1
620,BI-6,1,1
621,BI-62,0,1
622,BI-65,0,1
623,BJ-12,1,1
624,BJ-17,1,1
625,BJ-20,1,1
626,BJ-31,1,1
627,BJ-32,1,1
628,BJ-40,1,1
629,BJ-41,1,1
630,BJ-43,1,1
631,BJ-46,1,1
632,BJ-54,0,0
633,BJ-57,0,1
634,BJ-63,0,1
635,BJ-64,0,1
636,BJ-9,1,1
637,BK-10,1,1
638,BK-12,1,1
639,BK-16,1,1
640,BK-25,1,1
641,BK-38,1,1
642,BK-40,1,1
643,BK-42,1,1
644,BK-5,1,1
645,BK-52,0,1
646,BK-54,0,0
647,BK-64,0,1
648,BK-66,0,1
649,BK-7,1,1
650,BL-18,1,1
651,BL-21,1,1
652,BL-24,1,1
653,BL-36,1,1
654,BL-39,1,1
655,BL-46,1,1
656,BL-47,0,1
657,BL-54,0,0
658,BL-63,0,1
659,BL-65,0,1
660,BL-66,0,1
661,BL-7,1,1
662,BM-10,1,1
663,BM-19,1,1
664,BM-23,1,1
665,BM-26,1,1
666,BM-28,1,1
667,BM-30,1,1
668,BM-34,1,1
669,BM-42,1,1
670,BM-47,0,1
671,BM-51,0,1
672,BM-55,0,0
673,BM-6,1,1
674,BM-64,0,1
675,BM-7,1,1
676,BM-9,1,1
677,BN-16,1,1
678,BN-17,1,1
679,BN-19,1,1
680,BN-21,1,1
681,BN-22,1,1
682,BN-26,1,1
683,BN-31,1,1
684,BN-32,1,1
685,BN-33,1,1
686,BN-38,1,1
687,BN-4,1,1
688,BN-40,1,1
689,BN-41,1,1
690,BN-51,0,1
691,BN-53,0,0
692,BN-54,0,0
693,BN-56,0,0
694,BN-59,0,1
695,BN-63,0,1
696,BO-17,1,1
697,BO-18,1,1
698,BO-2,1,1
699,BO-26,1,1
700,BO-43,0,1
701,BO-45,0,1
702,BO-58,0,0
703,BO-63,0,1
704,BO-64,0,1
705,BP-12,1,1
706,BP-13,1,1
707,BP-42,0,1
708,BP-43,0,1
709,BP-52,0,1
710,BP-60,0,1
